[2026-07-26T21:23:24.154Z] [INFO] AI workers disabled (default) - all workers run local-only. Enable with `daemon start --headless`, daemon.aiWorkers.enabled=true, or RUFLO_DAEMON_AI_WORKERS=1 (#2661)
[2026-07-26T21:23:24.155Z] [INFO] Scheduled map (interval: 900s, first run in 0s)
[2026-07-26T21:23:24.155Z] [INFO] Scheduled audit (interval: 600s, first run in 120s)
[2026-07-26T21:23:24.155Z] [INFO] Scheduled optimize (interval: 900s, first run in 240s)
[2026-07-26T21:23:24.155Z] [INFO] Scheduled consolidate (interval: 1800s, first run in 360s)
[2026-07-26T21:23:24.155Z] [INFO] Scheduled testgaps (interval: 1200s, first run in 480s)
[2026-07-26T21:23:24.155Z] [INFO] Scheduled backup (interval: 86400s, first run in 600s)
[2026-07-26T21:23:24.156Z] [INFO] Scheduled harness (interval: 21600s, first run in 720s)
[2026-07-26T21:23:24.156Z] [INFO] Lifecycle monitor active (workspace-removal, ttl=43200s)
[2026-07-26T21:23:24.157Z] [INFO] Daemon started (PID: 11340, CPUs: 16, workers: 7, maxCpuLoad: 12.8, minFreeMemoryPercent: 10%)
[2026-07-26T21:23:24.158Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-26T21:23:24.159Z] [INFO] Worker map completed in 2ms
[2026-07-26T21:25:24.171Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-26T21:25:24.172Z] [INFO] Worker audit completed in 1ms
[2026-07-26T21:27:24.159Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-26T21:27:24.159Z] [INFO] Worker optimize completed in 2ms
[2026-07-26T21:29:24.172Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-26T21:29:24.173Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-26T21:29:24.173Z] [INFO] Worker consolidate completed in 2ms
[2026-07-26T21:31:24.162Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-26T21:31:24.162Z] [INFO] Worker testgaps completed in 1ms
[2026-07-26T21:33:24.166Z] [INFO] Starting worker: backup (1/2 concurrent)
[2026-07-26T21:33:24.167Z] [INFO] Worker backup completed in 1ms
[2026-07-26T21:35:24.168Z] [INFO] Starting worker: harness (1/2 concurrent)
[2026-07-26T21:35:24.193Z] [INFO] Worker harness completed in 26ms
[2026-07-26T21:35:24.195Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-26T21:35:24.196Z] [INFO] Worker audit completed in 2ms
[2026-07-26T21:38:24.170Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-26T21:38:24.171Z] [INFO] Worker map completed in 2ms
[2026-07-26T21:42:24.168Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-26T21:42:24.168Z] [INFO] Worker optimize completed in 2ms
[2026-07-26T21:45:24.205Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-26T21:45:24.205Z] [INFO] Worker audit completed in 1ms
[2026-07-26T21:51:24.169Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-26T21:51:24.170Z] [INFO] Worker testgaps completed in 1ms
[2026-07-26T21:53:24.177Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-26T21:53:24.177Z] [INFO] Worker map completed in 2ms
[2026-07-26T21:55:24.218Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-26T21:55:24.218Z] [INFO] Worker audit completed in 1ms
[2026-07-26T21:57:24.173Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-26T21:57:24.174Z] [INFO] Worker optimize completed in 5ms
[2026-07-26T21:59:24.181Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-26T21:59:24.181Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-26T21:59:24.181Z] [INFO] Worker consolidate completed in 2ms
[2026-07-26T22:05:24.236Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-26T22:05:24.236Z] [INFO] Worker audit completed in 2ms
[2026-07-26T22:08:24.183Z] [INFO] Starting worker: map (1/2 concurrent)
